state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,1113,Russell County,9864,11228,21329,-1364,0.46246893900323500,0.5264194289465050,-0.06395048994326970
Alabama,1115,St. Clair County,36166,7744,44441,28422,0.8137980693503750,0.1742535046466100,0.6395445647037650
Alabama,1117,Shelby County,79700,33268,114950,46432,0.6933449325793820,0.28941278816876900,0.4039321444106130
Alabama,1119,Sumter County,1598,4648,6291,-3050,0.2540136703226830,0.7388332538547130,-0.4848195835320300
Alabama,1121,Talladega County,22235,13138,35663,9097,0.623475310545944,0.3683930123657570,0.25508229818018700
Alabama,1123,Tallapoosa County,14963,5859,20991,9104,0.7128293077985800,0.2791196226954410,0.43370968510313900
Alabama,1125,Tuscaloosa County,51117,37765,90172,13352,0.566883289712993,0.41881071729583500,0.14807257241715800
Alabama,1127,Walker County,26002,4834,31170,21168,0.8341995508501770,0.15508501764517200,0.6791145332050050
Alabama,1129,Washington County,6564,2258,8876,4306,0.7395223073456510,0.254393871113114,0.48512843623253700
Alabama,1131,Wilcox County,1833,4048,5903,-2215,0.3105200745383700,0.6857530069456210,-0.3752329324072510
Alabama,1133,Winston County,10195,974,11284,9221,0.9034916696207020,0.08631690889755410,0.8171747607231480
Alaska,2901,District 1,3511,3477,7360,34,0.47703804347826100,0.4724184782608700,0.004619565217391260
Alaska,2902,District 2,3674,2104,6161,1570,0.5963317643239730,0.3415030027592920,0.2548287615646810
Alaska,2903,District 3,6076,1903,8385,4173,0.7246273106738220,0.22695289206917100,0.4976744186046510
Alaska,2904,District 4,4690,5345,10587,-655,0.4429961273259660,0.5048644564088030,-0.06186832908283750
Alaska,2905,District 5,4077,4204,8706,-127,0.4682977257064090,0.4828853664139670,-0.014587640707558000
Alaska,2906,District 6,5770,3272,9518,2498,0.6062197940743850,0.34376969951670500,0.26245009455768000
Alaska,2907,District 7,7027,2215,9664,4812,0.7271316225165560,0.22920115894039700,0.4979304635761590
Alaska,2908,District 8,7618,1953,9957,5665,0.7650898865120020,0.19614341669177500,0.568946469820227
Alaska,2909,District 9,7787,2769,11047,5018,0.7048972571738930,0.25065628677469,0.4542409703992030
Alaska,2910,District 10,8081,2727,11256,5354,0.7179282160625440,0.24227078891258000,0.47565742714996400
Alaska,2911,District 11,7096,3130,10686,3966,0.6640464158712330,0.2929066067752200,0.37113980909601300
Alaska,2912,District 12,7893,2957,11280,4936,0.6997340425531920,0.26214539007092200,0.4375886524822700
Alaska,2913,District 13,4652,2666,7765,1986,0.5990985189954930,0.3433354797166770,0.2557630392788150
Alaska,2914,District 14,6714,4261,11534,2453,0.5821050806311770,0.369429512744928,0.21267556788624900
Alaska,2915,District 15,2671,2622,5593,49,0.4775612372608620,0.46880028607187600,0.008760951188986230
Alaska,2916,District 16,3516,4274,8170,-758,0.4303549571603430,0.5231334149326810,-0.09277845777233780
Alaska,2917,District 17,2810,4136,7271,-1326,0.3864667858616420,0.5688350983358550,-0.18236831247421300
Alaska,2918,District 18,2760,4681,7759,-1921,0.35571594277613100,0.6032993942518370,-0.2475834514757060
Alaska,2919,District 19,1975,3118,5338,-1143,0.36998875983514400,0.5841139003372050,-0.21412514050206100
Alaska,2920,District 20,2383,4881,7544,-2498,0.3158801696712620,0.6470042417815480,-0.3311240721102860
Alaska,2921,District 21,3690,5414,9482,-1724,0.3891584053997050,0.5709765872178870,-0.18181818181818200
Alaska,2922,District 22,4684,4553,9597,131,0.48806918828800700,0.4744190892987390,0.013650098989267400
Alaska,2923,District 23,3655,3810,7796,-155,0.46883016931759900,0.4887121600820930,-0.01988199076449470
Alaska,2924,District 24,5378,4736,10484,642,0.5129721480351010,0.45173597863410900,0.061236169400992000
Alaska,2925,District 25,4407,4600,9369,-193,0.47038104386807600,0.4909808944391080,-0.02059985057103210
Alaska,2926,District 26,5243,4558,20292,685,0.2583776857875030,0.22462054011433100,0.0337571456731717
Alaska,2927,District 27,4324,4844,19037,-520,0.2271366286704840,0.2544518569102270,-0.02731522823974360
Alaska,2928,District 28,6162,6264,25580,-102,0.24089132134480100,0.24487881157154000,-0.003987490226739640
Alaska,2929,District 29,7464,2985,10784,4479,0.6921364985163200,0.27679896142433200,0.41533753709198800
Alaska,2930,District 30,7180,2638,10226,4542,0.7021318208488170,0.2579698806962640,0.44416194015255200
Alaska,2931,District 31,6971,5037,12481,1934,0.5585289640253190,0.4035734316160560,0.15495553240926200
Alaska,2932,District 32,4440,3506,8361,934,0.5310369573017580,0.41932783159909100,0.11170912570266700
Alaska,2933,District 33,3059,7535,11016,-4476,0.27768700072621600,0.6840050835148870,-0.406318082788671
Alaska,2934,District 34,4543,5763,10794,-1220,0.42088197146562900,0.5339077265147300,-0.11302575504910100
Alaska,2935,District 35,4769,5011,10149,-242,0.46989851216868700,0.4937432259335900,-0.023844713764902900
Alaska,2936,District 36,5114,3796,9292,1318,0.550365906155833,0.40852346104175600,0.14184244511407700
Alaska,2937,District 37,2358,2560,5168,-202,0.45626934984520100,0.4953560371517030,-0.039086687306501600
Alaska,2938,District 38,1737,3202,5299,-1465,0.32779769767880700,0.6042649556520100,-0.27646725797320200
Alaska,2939,District 39,1939,3580,5930,-1641,0.3269814502529510,0.6037099494097810,-0.2767284991568300
Alaska,2940,District 40,1994,2318,4628,-324,0.4308556611927400,0.5008643042350910,-0.07000864304235090
Arizona,4001,Apache County,11442,23293,35183,-11851,0.32521388170423200,0.662052695904272,-0.3368388142000400
Arizona,4003,Cochise County,35557,23732,60473,11825,0.5879814131926650,0.3924396011443120,0.1955418120483520
Arizona,4005,Coconino County,27052,44698,73346,-17646,0.36882720257410100,0.6094129195866170,-0.24058571701251600
Arizona,4007,Gila County,18377,8943,27678,9434,0.6639569333044300,0.32310860611315800,0.34084832719127100
Arizona,4009,Graham County,10749,4034,14996,6715,0.716791144305148,0.26900506801813800,0.44778607628701000
Arizona,4011,Greenlee County,2433,1182,3688,1251,0.65970715835141,0.32049891540130200,0.3392082429501090
Arizona,4012,La Paz County,5129,2236,7460,2893,0.6875335120643430,0.2997319034852550,0.3878016085790890
Arizona,4013,Maricopa County,995665,1040774,2069475,-45109,0.4811196076299550,0.5029169233742860,-0.021797315744331200
Arizona,4015,Mohave County,78535,24831,104705,53704,0.7500596915142540,0.23715199847189700,0.5129076930423570
Arizona,4017,Navajo County,27657,23383,51783,4274,0.5340942007994900,0.45155746094278000,0.08253673985670980
Arizona,4019,Pima County,207758,304981,520735,-97223,0.39897068566545400,0.5856740952691870,-0.18670340960373300
Arizona,4021,Pinal County,107077,75106,185037,31971,0.57867885882283,0.40589719893859100,0.17278165988423900
Arizona,4023,Santa Cruz County,6194,13138,19561,-6944,0.3166504779919230,0.6716425540616530,-0.3549920760697310
Arizona,4025,Yavapai County,91527,49602,143280,41925,0.6387981574539360,0.3461892797319930,0.292608877721943
Arizona,4027,Yuma County,36534,32210,69926,4324,0.5224666075565600,0.4606298086548640,0.06183679890169610
Arkansas,5001,Arkansas County,4304,1818,6292,2486,0.684043229497775,0.28893833439288000,0.3951048951048950
Arkansas,5003,Ashley County,5548,2125,7926,3423,0.6999747665909670,0.2681049709815800,0.4318697956093870
Arkansas,5005,Baxter County,15836,4635,21007,11201,0.7538439567763130,0.22064073880135200,0.5332032179749610
Arkansas,5007,Benton County,73965,42249,119912,31716,0.6168273400493700,0.3523333778103940,0.26449396223897500
Arkansas,5009,Boone County,13652,3064,17114,10588,0.7977094776206620,0.17903470842585000,0.6186747691948110
Arkansas,5011,Bradley County,2335,1214,3654,1121,0.6390257252326220,0.3322386425834700,0.3067870826491520
Arkansas,5013,Calhoun County,1636,479,2182,1157,0.7497708524289640,0.21952337305224600,0.5302474793767190
Arkansas,5015,Carroll County,7424,4023,11797,3401,0.6293125370857000,0.3410189031109600,0.2882936339747390
Arkansas,5017,Chicot County,1752,2260,4103,-508,0.42700463075798200,0.5508164757494520,-0.12381184499147000
Arkansas,5019,Clark County,4616,3438,8395,1178,0.5498511018463370,0.4095294818344250,0.14032162001191200
Arkansas,5021,Clay County,4086,962,5183,3124,0.78834651746093,0.1856067914335330,0.6027397260273970
Arkansas,5023,Cleburne County,10328,1988,12680,8340,0.8145110410094640,0.15678233438485800,0.6577287066246060
Arkansas,5025,Cleveland County,2867,651,3600,2216,0.7963888888888890,0.18083333333333300,0.6155555555555560
Arkansas,5027,Columbia County,5500,2814,8616,2686,0.638347260909935,0.3266016713091920,0.3117455896007430
Arkansas,5029,Conway County,5694,2615,8685,3079,0.6556131260794470,0.30109383995394400,0.35451928612550400
Arkansas,5031,Craighead County,25558,11921,38511,13637,0.6636545402612240,0.30954792137311400,0.3541066188881100
Arkansas,5033,Crawford County,18607,4959,24091,13648,0.7723631231580260,0.20584450624714600,0.5665186169108800
Arkansas,5035,Crittenden County,7333,8514,16367,-1181,0.44803568155434700,0.5201930714242070,-0.07215738986986010
Arkansas,5037,Cross County,4946,1772,6942,3174,0.7124747911264770,0.25525785076346900,0.45721694036300800
Arkansas,5039,Dallas County,1573,963,2649,610,0.5938089845224610,0.3635334088335220,0.23027557568893900
Arkansas,5041,Desha County,1921,2016,4164,-95,0.4613352545629200,0.484149855907781,-0.022814601344860700
